country,ISO,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,COUNTRYDATA,PR,CL,development,gdp_pc_ppp,region,region9,oecd,OVERALLINTEGRITY,PEIIndexp,PEIIndexi,rating,LAWS,lawsunfair,lawsunfair2,favoredincumbent,favoredincumbent2,citizens,citizens2,laws,lawsi,PROCEDURES,managed,votinginfo,fairofficials,legalelections,procedures,proceduresi,BOUNDARIES,bdiscrim,bdiscrim2,bfavored,bfavored2,bimpartial,boundaries,boundariesi,VOTERREGISTRATION,reglisted,reglisted2,reginaccurate,reginaccurate2,ineligible,ineligible2,votereg,voteregi,PARTYREGISTRATION,oppprevent,oppprevent2,womenopp,minorityopp,leaderselect,leaderselect2,rallies,rallies2,partyreg,partyregi,MEDIACOVERAGE,newspapers,tv,tv2,fairaccess,faircoverage,socialmedia,media,mediai,CAMPAIGNFINANCE,subsidies,donations,accounts,rich,rich2,resources,resources2,finance,financei,VOTINGPROCESS,violence,violence2,fraudulent,fraudulent2,easy,choice,postal,disabled,expats,internet,voting,votingi,VOTECOUNT,secure,delay,faircount,intlmonitors,intlmonitors2,domesticmonitors,domesticmonitors2,count,counti,VOTINGRESULTS,challenged,challenged2,protestspeace,protestspeace2,protestsviolent,protestsviolent2,disputes,results,resultsi,ELECTIONAUTHORITIES,impartial,info,scrutiny,performance,EMBs,EMBsi,GENERALQUESTIONS,important,ORGCONFIDENCE,courts,government,parliament,armedforces,electoralauth,ROTATING,bribed,bribed2,freetovote,fearviolence,fearviolence2,ballotconfidential,freefairelect,cashforvotes,cashforvotes2,patronage,patronage2,audit,hacking,campaignnews,govtnews,fakenews,fakenews2,hatespeech,hatespeech2,informedchoices,foreigninterference,foreigninterference2,mediamonitors,cyberattacks,cyberattacks2,diversenews,journalisticstandards,partisanjournalists,partisanjournalists2,fakesocial,fakesocial2,PEItype
Fiji,FJI,Rest,Rest,2014,Rest,Rest,Rest,2018,Rest,Rest,Rest,2022,,3,3,3,9628,5,East Asia & Oceania,0,,35,55,6,,4,2,4,2,4,2,37,33,,4,4,4,4,76,73,,3,3,3,3,3,53,56,,3,3,3,3,3,3,63,52,,3,3,4,4,4,2,3,3,58,53,,2,4,2,3,3,3,49,39,,2,3,3,3,3,4,2,35,43,,2,4,3,3,4,4,4,4,4,1,75,62,,4,3,4,2,4,3,3,66,62,,4,2,3,3,1,5,4,61,58,,3,4,3,4,66,63,,2,,5,5,6,4,5,,3,3,,,,,,,,,,,,,,3,3,3,3,3,2,4,3,2,5,3,3,3,3,4,2,Moderate
France,FRA,Rest,Rest,Rest,Rest,Rest,2017,Rest,Rest,Rest,Rest,2022,,1,2,4,44573,4,Europe,1,,75,71,9,,3,3,3,3,2,4,60,60,,5,5,5,5,90,90,,3,3,3,3,3,52,60,,3,3,2,4,2,4,65,60,,1,5,4,4,3,3,2,4,74,73,,3,3,3,4,3,3,55,55,,3,3,3,2,4,3,3,55,63,,1,5,1,5,4,4,2,3,5,1,73,68,,5,5,5,2,4,1,5,91,91,,2,4,3,3,2,4,4,72,74,,4,4,4,4,84,84,,1,,7,6,6,7,9,,1,5,,,,4,,,,,,3,4,4,4,2,4,,,,,,,,,,,,,,,Very High
Micronesia,FSM,Rest,2013,Rest,2015,Rest,2017,Rest,Rest,Rest,Rest,Rest,,1,1,2,3404,5,East Asia & Oceania,0,,,59,7,,2,4,2,4,2,4,78,65,,4,4,4,4,70,65,,2,4,3,4,4,73,67,,4,2,4,2,3,3,47,42,,2,4,3,4,2,4,2,4,74,69,,3,4,3,3,4,3,25,52,,3,3,2,4,2,4,3,45,35,,2,4,2,4,4,4,4,3,4,2,72,59,,4,4,4,3,3,2,4,74,68,,3,3,2,4,2,4,3,70,66,,4,4,3,4,65,66,,3,,7,6,5,1,7,,4,2,,,,3,,,,,,4,,4,3,3,3,,,,,,,,,,,,,,,Moderate
Gabon,GAB,Rest,Rest,Rest,Rest,2016,Rest,2018,Rest,Rest,Rest,Rest,,7,5,3,17335,1,West Africa,0,,26,30,3,,4,2,4,2,4,2,29,31,,2,3,2,2,26,27,,4,2,4,2,2,33,37,,4,2,4,2,4,2,31,37,,3,3,4,3,3,3,4,2,46,51,,1,4,2,2,2,4,26,28,,1,1,1,4,2,5,2,8,11,,3,3,4,2,3,3,2,2,4,1,33,34,,2,2,1,3,3,3,3,28,29,,5,1,3,3,4,2,2,27,27,,1,2,2,2,18,18,,1,,2,2,3,3,2,,5,2,4,4,2,3,2,5,1,5,1,,,,,4,2,2,5,2,3,3,3,1,5,2,2,4,2,4,2,Very Low
United Kingdom,GBR,Rest,Rest,Rest,2015,Rest,2017,Rest,2019,Rest,Rest,Rest,,1,1,4,43521,4,Europe,1,,65,68,8,,4,2,4,2,2,4,49,43,,4,4,5,5,88,87,,4,2,3,3,3,53,49,,4,2,3,3,2,4,58,53,,2,4,3,3,2,4,2,4,74,69,,2,2,4,4,3,2,48,52,,4,3,3,3,3,2,4,65,51,,1,5,2,4,4,4,5,4,4,1,74,75,,5,5,5,2,4,2,4,87,89,,2,4,3,3,1,5,4,80,78,,4,4,4,4,84,81,,2,,8,6,7,7,9,,1,5,,,,5,,,,,,3,4,3,3,2,4,2,4,3,3,3,4,2,5,4,4,3,3,4,2,High
Georgia,GEO,2012,2013,Rest,Rest,2016,Rest,2018,Rest,2020,Rest,Rest,,3,3,2,10208,4,Eastern Europe & Central Asia,0,,60,58,7,,2,4,3,3,2,4,69,66,,3,4,3,3,67,64,,3,3,3,3,3,63,59,,3,3,3,3,3,3,61,60,,2,4,4,3,4,2,2,4,65,61,,3,3,3,3,3,3,56,51,,3,2,3,4,2,4,2,46,41,,3,3,3,3,4,4,2,4,4,2,59,57,,4,4,4,1,5,2,4,77,73,,3,3,3,3,2,4,3,60,58,,3,4,3,3,62,59,,2,,4,5,5,6,6,,3,3,4,2,4,4,3,3,3,3,3,,,,,4,2,4,2,3,3,3,4,2,4,3,2,4,2,4,2,Moderate
Ghana,GHA,2012,Rest,Rest,Rest,2016,Rest,Rest,Rest,2020,Rest,Rest,,1,2,2,4581,1,West Africa,0,,63,64,8,,2,4,2,4,1,5,82,80,,4,4,4,4,77,74,,2,4,2,4,4,75,72,,3,3,3,3,4,2,55,46,,2,4,4,5,1,5,1,5,85,83,,4,3,3,4,4,4,70,67,,2,3,2,3,3,4,2,36,37,,2,4,3,3,4,5,2,3,2,1,52,52,,4,4,4,1,5,1,5,85,81,,4,2,3,3,2,4,4,56,53,,4,4,4,4,77,74,,1,,6,5,5,6,6,,3,3,4,3,3,4,4,4,2,4,2,,,,,,,,,,,,,,,,,,,,,High
Guinea,GIN,Rest,2013,Rest,2015,Rest,Rest,Rest,Rest,2020,Rest,Rest,,5,5,1,1764,1,West Africa,0,,36,39,5,,3,3,4,2,3,3,54,35,,2,3,2,3,43,34,,4,2,4,2,3,46,43,,4,2,4,2,4,2,34,24,,2,4,3,3,4,2,4,2,50,52,,3,4,2,2,3,3,50,43,,2,2,2,4,2,4,2,38,21,,3,3,4,2,3,3,2,2,3,1,48,36,,3,3,3,3,3,3,3,53,51,,4,2,3,3,3,3,3,51,45,,2,3,2,2,43,35,,1,,3,3,4,3,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Low
Gambia,GMB,Rest,Rest,Rest,Rest,2016,2017,Rest,Rest,Rest,2021,2022,,5,5,1,1992,1,West Africa,0,,56,56,8,,3,3,3,3,2,4,54,54,,4,4,4,4,78,78,,2,4,3,3,3,58,54,,3,3,3,3,3,3,56,44,,2,4,3,4,3,3,2,4,60,57,,3,4,2,3,3,3,46,52,,2,2,2,2,4,4,2,37,28,,2,4,3,3,4,4,3,2,2,1,51,46,,4,4,5,2,4,2,4,79,80,,4,2,2,4,2,4,4,63,60,,4,4,4,4,70,70,,1,,6,5,6,4,7,,3,3,4,4,2,4,4,4,2,4,2,3,3,3,3,3,3,,,,,,,,,,,,,,,Moderate
Guinea Bissau,GNB,Rest,Rest,2014,Rest,Rest,Rest,Rest,2019,Rest,Rest,Rest,,5,5,1,1745,1,West Africa,0,,63,55,7,,2,4,2,4,2,4,73,65,,3,4,4,4,69,71,,3,3,3,3,3,61,52,,3,3,2,4,2,4,69,41,,2,4,3,3,3,3,3,4,64,59,,3,3,3,3,3,3,51,56,,3,2,2,3,3,3,3,44,32,,3,3,3,3,4,4,3,2,4,2,56,48,,4,3,4,3,3,3,3,70,61,,4,3,3,3,2,4,3,48,60,,3,3,3,4,53,65,,1,,4,3,5,2,5,,3,3,,,,,,,,,,,,,,2,4,2,4,3,2,4,2,2,4,3,3,3,3,3,3,Moderate
